City,Country,Date,Latitude,Longitude,Max Temperature,Cloudiness,Humidity,Wind Speed
Albany,US,1631234337,42.6001,-73.9662,18.94,100,94,1.79
Hilo,US,1631234318,19.7297,-155.09,27.92,90,67,4.12
Dunedin,NZ,1631234258,-45.8742,170.5036,11.56,69,80,4.16
Sitka,US,1631234526,57.0531,-135.33,15.94,90,55,5.66
Klaksvík,FO,1631234529,62.2266,-6.589,9.51,100,69,3.81
The Pas,CA,1631234531,53.8251,-101.2541,19.01,90,68,3.8
New Norfolk,AU,1631234533,-42.7826,147.0587,13.17,98,58,2.68
Ushuaia,AR,1631234534,-54.8,-68.3,8.81,75,49,6.17
Colac,AU,1631234536,-38.3333,143.5833,12.31,100,65,2.53
Hithadhoo,MV,1631234539,-0.6,73.0833,28.29,12,72,3.06
Castro,BR,1631234541,-24.7911,-50.0119,14.7,98,74,2.41
Qaanaaq,GL,1631234543,77.484,-69.3632,-7.82,64,68,2.91
Mataura,NZ,1631234545,-46.1927,168.8643,8.04,62,80,2.85
Evensk,RU,1631234546,61.95,159.2333,7.79,25,36,6.19
Mrkonjić Grad,BA,1631234548,44.4158,17.0861,6.09,3,77,1.63
Grafton,US,1631234550,42.207,-71.6856,20.14,90,93,0.0
Korla,CN,1631234552,41.7597,86.1469,25.44,0,20,3.54
Port Alfred,ZA,1631234553,-33.5906,26.891,16.5,96,79,10.18
Antalaha,MG,1631234555,-14.9003,50.2788,18.67,49,86,2.99
Baykit,RU,1631234557,61.67,96.37,7.46,17,84,3.02
Souillac,MU,1631234559,-20.5167,57.5167,20.2,75,94,2.57
Vaini,TO,1631234560,-21.2,-175.2,23.09,90,83,5.66
Coyhaique,CL,1631234562,-45.5752,-72.0662,6.97,75,81,0.0
Eirunepé,BR,1631234564,-6.6603,-69.8736,25.02,85,78,1.09
Tabas,IR,1631234566,33.5959,56.9244,23.68,0,24,2.39
Buraidah,SA,1631234567,26.326,43.975,28.25,96,17,2.68
Cape Town,ZA,1631234456,-33.9258,18.4232,15.49,75,83,4.47
Busselton,AU,1631234572,-33.65,115.3333,10.58,66,73,1.98
Saint-Philippe,RE,1631234574,-21.3585,55.7679,19.75,35,79,2.38
Punta Arenas,CL,1631234336,-53.15,-70.9167,7.06,0,53,4.63
Saskylakh,RU,1631234577,71.9167,114.0833,12.01,100,62,3.39
Hokitika,NZ,1631234579,-42.7167,170.9667,10.68,100,85,9.24
Rikitea,PF,1631234581,-23.1203,-134.9692,22.41,79,84,7.91
Woodward,US,1631234582,36.4337,-99.3904,32.57,1,39,4.63
Río Gallegos,AR,1631234584,-51.6226,-69.2181,7.03,0,70,5.14
Les Cayes,HT,1631234586,18.2,-73.75,26.46,11,84,1.7
Atuona,PF,1631234588,-9.8,-139.0333,25.84,7,74,5.18
Kavieng,PG,1631234590,-2.5744,150.7967,29.39,46,69,8.14
Laas,IT,1631234591,46.6166,10.7002,12.79,3,90,0.87
Faya,SA,1631234593,18.3851,42.4509,20.06,10,25,1.2
Lompoc,US,1631234595,34.6391,-120.4579,28.21,1,80,5.14
Fort Nelson,CA,1631234481,58.8053,-122.7002,15.77,75,59,3.09
Avarua,CK,1631234598,-21.2078,-159.775,25.03,20,78,4.63
Hasaki,JP,1631234354,35.7333,140.8333,26.16,9,80,5.33
Gouré,NE,1631234601,13.9835,10.2704,27.93,100,53,2.34
